defect_type,images,pixel_roc_auc,pixel_average_precision,defective_pixel_fraction
broken_large,20,0.9773640181074217,0.8296772728962243,0.11699905395507812
broken_small,22,0.9938136272356288,0.7910427475365961,0.030681956898082386
contamination,21,0.959615918277894,0.6612380905150145,0.08486357189360119
