defect_type,images,pixel_roc_auc,pixel_average_precision,defective_pixel_fraction
broken_large,20,0.6240315959546432,0.2121343422454786,0.11699905395507812
broken_small,22,0.7563424900872348,0.19062614104037803,0.030681956898082386
contamination,21,0.65780111724893,0.19234592199082434,0.08486357189360119
