shots,runs,query_images_mean,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,broken_large_recall_mean,broken_small_recall_mean,contamination_recall_mean
1,20,60.0,0.47333333333333333,0.09372099941312059,0.4517450531023444,0.11446322433625597,0.45205988882047354,0.1144638352629593,0.6263157894736843,0.4904761904761905,0.31
5,20,48.0,0.6416666666666667,0.04808085903816562,0.6381983839398977,0.04796841452478414,0.6397103409317031,0.047498148525846766,0.7166666666666667,0.6470588235294118,0.565625
10,20,33.0,0.7090909090909091,0.06325930672167815,0.7078601014179513,0.06745671912347496,0.7105951629279854,0.0669901591011453,0.755,0.75,0.6227272727272728
