transform,mean_roc_auc,mean_accuracy,mean_precision,mean_recall,mean_f1_score,mean_roc_auc_change,mean_f1_change,total_false_positive,total_false_negative
brightness_down,0.9754710971605333,0.9375793773384135,0.9773893328259766,0.9202898550724639,0.9450080801860153,-0.001400784359024354,0.011021797216298626,5,22
brightness_up,0.9760846903995836,0.8795757388528473,0.884422395041864,0.9637681159420289,0.9196770686524314,-0.0007871911199741991,-0.014309214317285416,35,10
clean,0.9768718815195577,0.9186915182095904,0.9519245206745207,0.9239130434782609,0.9339862829697166,0.0,0.0,12,21
contrast_down,0.97498899471256,0.9464682662273024,0.97810094997595,0.9347826086956522,0.9540930123478706,-0.0018828868069978484,0.02010672937815387,5,18
gaussian_blur,0.9714847275844867,0.8659575052346137,0.8849960837912646,0.9492753623188405,0.910750142459332,-0.005387153935071054,-0.023236140510384844,36,14
gaussian_noise,0.9271052631344396,0.7110177461984691,0.7110177461984691,1.0,0.8291406490151488,-0.04976661838511812,-0.10484563395456796,106,0
rotation_5_degrees,0.7154606039231141,0.7110177461984691,0.7110177461984691,1.0,0.8291406490151488,-0.26141127759644356,-0.10484563395456796,106,0
