defect_type,images,pixel_precision,pixel_recall,dice_score,iou,specificity,true_positive_pixels,false_positive_pixels,false_negative_pixels,true_negative_pixels
broken_large,20,0.7213710697669615,0.9109701147026794,0.8051594757529998,0.6738635486609554,0.9533777963256254,139700,53959,13653,1103408
broken_small,22,0.5245554202192448,0.9735289463571218,0.6817638538195462,0.5171788497796351,0.9720697933176154,43066,39034,1171,1358521
contamination,21,0.6596713698874799,0.6957292326660616,0.6772206757455036,0.5119679929433261,0.9667151529780176,81257,41921,35537,1217541
