defect_type,actual_label,total_images,correctly_classified,detected_correctly,missed_or_incorrect,accuracy_or_recall,mean_anomaly_score,minimum_score,maximum_score
broken_large,1,20,11,11,9,0.55,0.02490696064196527,0.014754083938896656,0.037828464061021805
broken_small,1,22,16,16,6,0.7272727272727273,0.0285508068786426,0.014192720875144005,0.04604872688651085
contamination,1,21,5,5,16,0.23809523809523808,0.02493815217167139,0.012465574778616428,0.08277811855077744
good,0,20,19,19,1,0.95,0.017248060274869203,0.011900922283530235,0.024028321728110313
