defect_type,images,pixel_precision,pixel_recall,dice_score,iou,specificity,true_positive_pixels,false_positive_pixels,false_negative_pixels,true_negative_pixels
broken_large,20,0.7182822174374401,0.9092942426949587,0.8025796648507714,0.6702572532733461,0.9527453262448299,139443,54691,13910,1102676
broken_small,22,0.5179877755318125,0.9731898636887674,0.6761105309032658,0.5107001352345252,0.9713349385176254,43051,40061,1186,1357494
contamination,21,0.6493490896863141,0.694427795948422,0.6711323315238978,0.5050407557086014,0.9652256280856429,81105,43797,35689,1215665
