epoch,training_loss,validation_loss
1,0.0886927108679499,0.06662487856498579
2,0.02770477520035846,0.017741750017171952
3,0.009736083625327973,0.007468600677916917
4,0.004955712029533018,0.005161146099520166
5,0.003148942542750211,0.0030221794391187226
6,0.0023232473260057823,0.0020903023868435767
7,0.0019111520932277753,0.001754000703463467
8,0.0016757729685022717,0.0015666426199193045
9,0.001485907317449649,0.0014482782301833716
10,0.0013650032370129512,0.0013232725706496618
11,0.001290366275324708,0.0012632833010085473
12,0.0012059660595176475,0.0011497634809418786
13,0.0011248931654595903,0.001117189221720143
14,0.0010790432016143487,0.001053074743916712
15,0.0010317998184334663,0.001019894048889599
16,0.000990870073326819,0.0009500337878196705
17,0.0009504521426389969,0.0009981223166261504
18,0.0009129810108182331,0.0008838631428505589
19,0.0008813971792170335,0.0008610817192054195
20,0.000853622470804978,0.000824310385235926
21,0.0008284892787092499,0.000809328720007637
22,0.0007993023083101781,0.0008126586340594945
23,0.0007847609896478909,0.000752126091023589
24,0.0007533593868304576,0.0007431994621051339
25,0.0007393938389473728,0.0007143220523508583
26,0.00071714291005351,0.000727094572162392
27,0.0006993880822500657,0.0007168315336812379
28,0.0006858206110163813,0.0006632499152612759
29,0.0006596274047513448,0.0006424725316919205
30,0.0006396879519646367,0.0006462033559772663
