shots,runs,query_images,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,broken_large_recall_mean,broken_small_recall_mean,contamination_recall_mean
1,20,30.0,0.45499999999999996,0.10332201409424432,0.4090049864030732,0.11779437711358012,0.4090049864030732,0.11779437711358014,0.6799999999999999,0.47000000000000003,0.215
5,20,30.0,0.6516666666666666,0.09519140459501546,0.6402729959698885,0.1107772715830353,0.6402729959698885,0.11077727158303531,0.76,0.6599999999999999,0.5349999999999999
10,20,30.0,0.7116666666666667,0.06948010780156404,0.7062444636293186,0.07946615962232449,0.7062444636293186,0.07946615962232446,0.8550000000000001,0.645,0.635
