shots,seed,query_images,accuracy,macro_f1,weighted_f1,recall_broken_large,recall_broken_small,recall_contamination
1,0,60,0.31666666666666665,0.235042735042735,0.23012820512820512,0.7894736842105263,0.19047619047619047,0.0
1,1,60,0.4166666666666667,0.36868463097971294,0.36769511687544476,0.7894736842105263,0.38095238095238093,0.1
1,2,60,0.5666666666666667,0.5650017253278122,0.5664164941338855,0.5789473684210527,0.6666666666666666,0.45
1,3,60,0.5333333333333333,0.5292707292707293,0.5263569763569763,0.7368421052631579,0.2857142857142857,0.6
1,4,60,0.5333333333333333,0.5133095662507428,0.514007724301842,0.7368421052631579,0.6190476190476191,0.25
1,5,60,0.4,0.3953314659197012,0.39500466853408034,0.5789473684210527,0.3333333333333333,0.3
1,6,60,0.5666666666666667,0.5508747614010772,0.5508431508431509,0.8947368421052632,0.5238095238095238,0.3
1,7,60,0.43333333333333335,0.34467120181405897,0.34965986394557824,0.47368421052631576,0.8095238095238095,0.0
1,8,60,0.3333333333333333,0.2636922636922637,0.26426426426426425,0.3684210526315789,0.6190476190476191,0.0
1,9,60,0.35,0.35768134304719673,0.36048991658747753,0.21052631578947367,0.38095238095238093,0.45
1,10,60,0.36666666666666664,0.31628303495311166,0.31760443307757885,0.47368421052631576,0.5714285714285714,0.05
1,11,60,0.6166666666666667,0.6173091458805745,0.6172902494331065,0.7894736842105263,0.5238095238095238,0.55
1,12,60,0.45,0.4436549402066643,0.4441263206780448,0.42105263157894735,0.6190476190476191,0.3
1,13,60,0.5833333333333334,0.5882573818057689,0.5894743130227001,0.7894736842105263,0.5238095238095238,0.45
1,14,60,0.5333333333333333,0.5235109717868339,0.5198014629049112,0.8947368421052632,0.2857142857142857,0.45
1,15,60,0.6,0.6017912649491597,0.6018107581265476,0.6842105263157895,0.5238095238095238,0.6
1,16,60,0.43333333333333335,0.4027161589273391,0.40461525189786063,0.5263157894736842,0.6190476190476191,0.15
1,17,60,0.5333333333333333,0.5425279931093884,0.5444229112833764,0.5263157894736842,0.5714285714285714,0.5
1,18,60,0.4166666666666667,0.4204286365709074,0.42284541723666214,0.3684210526315789,0.38095238095238093,0.5
1,19,60,0.48333333333333334,0.4548611111111111,0.45434027777777775,0.8947368421052632,0.38095238095238093,0.2
5,0,48,0.6875,0.6913888888888889,0.6918229166666666,0.8666666666666667,0.6470588235294118,0.5625
