mask_version,pixel_precision,pixel_recall,dice_score,iou,specificity,false_positive_pixels,false_negative_pixels
Raw threshold mask,0.6443246176446864,0.8384618810117563,0.7286843134626043,0.5731733834318343,0.9716083810201706,145510,50785
Postprocessed mask,0.6525176584565348,0.8398105501552242,0.7344111175706461,0.5802920109102977,0.9725666054776645,140599,50361
