category,transform,threshold,roc_auc,average_precision,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,seconds_per_image
bottle,clean,0.7190231680870056,0.9992063492063492,0.999751984126984,0.9759036144578314,0.9692307692307692,1.0,0.984375,18,2,0,63,0.039744879518837546
bottle,brightness_down,0.7190231680870056,0.9992063492063492,0.999751984126984,0.9879518072289156,0.984375,1.0,0.9921259842519685,19,1,0,63,0.04060276265042913
bottle,brightness_up,0.7190231680870056,1.0,0.9999999999999998,0.963855421686747,0.9545454545454546,1.0,0.9767441860465116,17,3,0,63,0.03953433493909662
bottle,contrast_down,0.7190231680870056,0.9992063492063492,0.999751984126984,0.9879518072289156,0.984375,1.0,0.9921259842519685,19,1,0,63,0.038854713252947544
bottle,gaussian_noise,0.7190231680870056,0.9865079365079366,0.9959178804277853,0.7590361445783133,0.7590361445783133,1.0,0.863013698630137,0,20,0,63,0.039223372289652836
bottle,gaussian_blur,0.7190231680870056,0.9992063492063492,0.999751984126984,0.963855421686747,0.9545454545454546,1.0,0.9767441860465116,17,3,0,63,0.0398323759029855
bottle,rotation_5_degrees,0.7190231680870056,0.9579365079365079,0.9891870752968803,0.7590361445783133,0.7590361445783133,1.0,0.863013698630137,0,20,0,63,0.04377284337463508
cable,clean,0.8156431227922439,0.931409295352324,0.9625900975336278,0.84,0.9594594594594594,0.7717391304347826,0.8554216867469879,55,3,21,71,0.06649457066630324
cable,brightness_down,0.8156431227922439,0.9284107946026987,0.961890539230541,0.8333333333333334,0.958904109589041,0.7608695652173914,0.8484848484848485,55,3,22,70,0.06710412866668776
cable,brightness_up,0.8156431227922439,0.9334707646176912,0.9641268752894283,0.88,0.9111111111111111,0.8913043478260869,0.9010989010989011,50,8,10,82,0.06032985599944368
cable,contrast_down,0.8156431227922439,0.9261619190404797,0.9604111046600123,0.86,0.961038961038961,0.8043478260869565,0.8757396449704142,55,3,18,74,0.060118313333950936
cable,gaussian_noise,0.8156431227922439,0.8541979010494753,0.9164267327548307,0.6133333333333333,0.6133333333333333,1.0,0.7603305785123967,0,58,0,92,0.061025153333321216
cable,gaussian_blur,0.8156431227922439,0.9272863568215892,0.9608356926280915,0.8733333333333333,0.9397590361445783,0.8478260869565217,0.8914285714285715,53,5,14,78,0.0602400193332384
cable,rotation_5_degrees,0.8156431227922439,0.6101949025487255,0.7415702291067141,0.6133333333333333,0.6133333333333333,1.0,0.7603305785123967,0,58,0,92,0.06232607066708928
carpet,clean,0.6521247327327728,1.0,1.0,0.9401709401709402,0.9270833333333334,1.0,0.9621621621621622,21,7,0,89,0.06042976581200989
carpet,brightness_down,0.6521247327327728,0.9987961476725522,0.9996212280614505,0.9914529914529915,0.9888888888888889,1.0,0.994413407821229,27,1,0,89,0.061674905127973065
carpet,brightness_up,0.6521247327327728,0.9947833065810594,0.9984051762877828,0.7948717948717948,0.7876106194690266,1.0,0.8811881188118812,4,24,0,89,0.060786120512952596
carpet,contrast_down,0.6521247327327728,0.9995987158908507,0.9998751560549315,0.9914529914529915,0.9888888888888889,1.0,0.994413407821229,27,1,0,89,0.06203215128173017
carpet,gaussian_noise,0.6521247327327728,0.9406099518459069,0.9820038476737132,0.7606837606837606,0.7606837606837606,1.0,0.8640776699029126,0,28,0,89,0.0622892376069282
carpet,gaussian_blur,0.6521247327327728,0.9879614767255216,0.9963526079076062,0.7606837606837606,0.7606837606837606,1.0,0.8640776699029126,0,28,0,89,0.060891758119209834
carpet,rotation_5_degrees,0.6521247327327728,0.5782504012841091,0.844231414710982,0.7606837606837606,0.7606837606837606,1.0,0.8640776699029126,0,28,0,89,0.061953229914244234
