image_path,defect_type,dice_score,iou,pixel_precision,pixel_recall
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\broken_small\015.png,broken_small,0.36984207845135,0.226875,0.226875,1.0
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\broken_small\016.png,broken_small,0.6586206896551724,0.4910025706940874,0.49118295371050696,0.9992526158445441
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\broken_small\017.png,broken_small,0.6136110078095947,0.44259656652360513,0.44259656652360513,1.0
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\broken_small\018.png,broken_small,0.8266816143497758,0.704567169883432,0.712463768115942,0.9845126835781042
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\broken_small\019.png,broken_small,0.7137026239067056,0.5548504079782411,0.5548504079782411,1.0
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\broken_small\020.png,broken_small,0.6508215962441315,0.4823836450630709,0.48994919372652973,0.9689820882481432
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\broken_small\021.png,broken_small,0.5338362547148879,0.3641041162227603,0.3657646701124962,0.9876847290640394
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\000.png,contamination,0.7085201793721974,0.5486111111111112,0.5774086378737542,0.9166666666666666
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\001.png,contamination,0.7037349059253019,0.542894280762565,0.6282801270265753,0.7997872340425531
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\002.png,contamination,0.6199621314579389,0.4492355938847511,0.45913461538461536,0.9542048293089093
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\003.png,contamination,0.5873391121618072,0.4157679434734102,0.5375,0.6473653734800232
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\004.png,contamination,0.42648648648648646,0.27104087942287874,0.3371794871794872,0.5801470588235295
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\005.png,contamination,0.8720019284078583,0.7730526765680094,0.8479840600093764,0.897419995038452
D:\PROJECTS\ANOMALY DETECTION\data\raw\mvtec_ad\bottle\test\contamination\006.png,contamination,0.9037725253969064,0.8244388562913291,0.9246840071033114,0.8837859424920128
